MATCHID,ROUND,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,SCORE_STR,STATUS
2486466,24,981300,HESTIA MENORCA,981215,PALMER BASKET MALLORCA PALMA,MIÉRCOLES11/03/202620:30,PENDING
2486467,24,979920,GRUPO URETA TIZONA BURGOS,981343,SUPER AGROPAL PALENCIA,MIÉRCOLES11/03/202620:00,PENDING
2486468,24,981421,MONBUS OBRADOIRO,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,101-49,PLAYED
2486469,24,981203,INVEREADY GIPUZKOA,981525,FLEXICAR FUENLABRADA,MIÉRCOLES11/03/202620:00,PENDING
2486470,24,981493,CLOUD.GAL OURENSE BALONCESTO,980004,LEYMA CORUNA,MIÉRCOLES11/03/202621:00,PENDING
2486472,24,981125,CAJA RURAL CB ZAMORA,981431,MOVISTAR ESTUDIANTES,75-86,PLAYED
2486473,24,979769,MELILLA CIUDAD DEL DEPORTE,981124,ALIMERKA OVIEDO BALONCESTO,MIÉRCOLES11/03/202620:30,PENDING
2486474,25,979989,HLA ALICANTE,981421,MONBUS OBRADOIRO,DOMINGO15/03/202612:30,PENDING
2486475,25,981215,PALMER BASKET MALLORCA PALMA,979907,GRUPO ALEGA CANTABRIA,DOMINGO15/03/202618:00,PENDING
2486476,25,981431,MOVISTAR ESTUDIANTES,981214,FIBWI MALLORCA BASQUET PALMA,DOMINGO15/03/202611:30,PENDING
2486477,25,981525,FLEXICAR FUENLABRADA,981300,HESTIA MENORCA,DOMINGO15/03/202618:00,PENDING
2486478,25,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,979769,MELILLA CIUDAD DEL DEPORTE,DOMINGO15/03/202612:00,PENDING
2486479,25,981493,CLOUD.GAL OURENSE BALONCESTO,979920,GRUPO URETA TIZONA BURGOS,SÁBADO14/03/202619:00,PENDING
2486480,25,981124,ALIMERKA OVIEDO BALONCESTO,981203,INVEREADY GIPUZKOA,DOMINGO15/03/202612:30,PENDING
2486481,25,981343,SUPER AGROPAL PALENCIA,980004,LEYMA CORUNA,SÁBADO14/03/202619:00,PENDING
2486483,26,981214,FIBWI MALLORCA BASQUET PALMA,981124,ALIMERKA OVIEDO BALONCESTO,DOMINGO22/03/202618:00,PENDING
2486484,26,980004,LEYMA CORUNA,979920,GRUPO URETA TIZONA BURGOS,VIERNES20/03/202620:30,PENDING
2486485,26,981421,MONBUS OBRADOIRO,981215,PALMER BASKET MALLORCA PALMA,SÁBADO21/03/202618:30,PENDING
2486486,26,981203,INVEREADY GIPUZKOA,981343,SUPER AGROPAL PALENCIA,SÁBADO21/03/202618:00,PENDING
2486487,26,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,979989,HLA ALICANTE,SÁBADO21/03/202619:00,PENDING
2486488,26,979907,GRUPO ALEGA CANTABRIA,981431,MOVISTAR ESTUDIANTES,SÁBADO21/03/202619:00,PENDING
2486489,26,981125,CAJA RURAL CB ZAMORA,981300,HESTIA MENORCA,SÁBADO21/03/202619:30,PENDING
2486490,26,979769,MELILLA CIUDAD DEL DEPORTE,981525,FLEXICAR FUENLABRADA,DOMINGO22/03/202618:00,PENDING
2486492,27,979989,HLA ALICANTE,981431,MOVISTAR ESTUDIANTES,SÁBADO28/03/202619:00,PENDING
2486493,27,981214,FIBWI MALLORCA BASQUET PALMA,981421,MONBUS OBRADOIRO,DOMINGO29/03/202618:00,PENDING
2486494,27,981300,HESTIA MENORCA,981124,ALIMERKA OVIEDO BALONCESTO,SÁBADO28/03/202619:30,PENDING
2486495,27,979920,GRUPO URETA TIZONA BURGOS,979907,GRUPO ALEGA CANTABRIA,VIERNES27/03/202620:45,PENDING
2486496,27,980004,LEYMA CORUNA,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,VIERNES27/03/202620:45,PENDING
2486498,27,981525,FLEXICAR FUENLABRADA,981215,PALMER BASKET MALLORCA PALMA,SÁBADO28/03/202618:30,PENDING
2486499,27,981493,CLOUD.GAL OURENSE BALONCESTO,981125,CAJA RURAL CB ZAMORA,SÁBADO28/03/202619:00,PENDING
2486500,27,981343,SUPER AGROPAL PALENCIA,979769,MELILLA CIUDAD DEL DEPORTE,VIERNES27/03/202621:00,PENDING
2486501,28,981300,HESTIA MENORCA,979920,GRUPO URETA TIZONA BURGOS,SÁBADO04/04/202620:45,PENDING
2486502,28,981215,PALMER BASKET MALLORCA PALMA,981493,CLOUD.GAL OURENSE BALONCESTO,DOMINGO05/04/202618:00,PENDING
2486503,28,981421,MONBUS OBRADOIRO,981343,SUPER AGROPAL PALENCIA,DOMINGO05/04/202618:30,PENDING
2486504,28,981431,MOVISTAR ESTUDIANTES,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,DOMINGO05/04/202611:30,PENDING
2486505,28,981124,ALIMERKA OVIEDO BALONCESTO,979989,HLA ALICANTE,DOMINGO05/04/202612:00,PENDING
2486506,28,979907,GRUPO ALEGA CANTABRIA,980004,LEYMA CORUNA,SÁBADO04/04/202619:00,PENDING
2486507,28,981125,CAJA RURAL CB ZAMORA,981525,FLEXICAR FUENLABRADA,SÁBADO04/04/202619:30,PENDING
2486508,28,979769,MELILLA CIUDAD DEL DEPORTE,981203,INVEREADY GIPUZKOA,DOMINGO05/04/202618:00,PENDING
2486510,29,979989,HLA ALICANTE,981203,INVEREADY GIPUZKOA,SÁBADO11/04/202619:00,PENDING
2486511,29,981215,PALMER BASKET MALLORCA PALMA,979769,MELILLA CIUDAD DEL DEPORTE,DOMINGO12/04/202618:00,PENDING
2486512,29,979920,GRUPO URETA TIZONA BURGOS,981431,MOVISTAR ESTUDIANTES,VIERNES10/04/202620:45,PENDING
2486513,29,980004,LEYMA CORUNA,981421,MONBUS OBRADOIRO,SÁBADO11/04/202619:00,PENDING
2486514,29,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981300,HESTIA MENORCA,SÁBADO11/04/202619:00,PENDING
2486515,29,981493,CLOUD.GAL OURENSE BALONCESTO,979907,GRUPO ALEGA CANTABRIA,SÁBADO11/04/202619:00,PENDING
2486516,29,981124,ALIMERKA OVIEDO BALONCESTO,981525,FLEXICAR FUENLABRADA,SÁBADO11/04/202619:00,PENDING
2486518,29,981125,CAJA RURAL CB ZAMORA,981214,FIBWI MALLORCA BASQUET PALMA,SÁBADO11/04/202619:30,PENDING
2486519,30,981214,FIBWI MALLORCA BASQUET PALMA,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,DOMINGO19/04/202618:00,PENDING
2486520,30,981300,HESTIA MENORCA,981343,SUPER AGROPAL PALENCIA,SÁBADO18/04/202619:30,PENDING
2486521,30,981421,MONBUS OBRADOIRO,981493,CLOUD.GAL OURENSE BALONCESTO,VIERNES17/04/202620:00,PENDING
2486522,30,981203,INVEREADY GIPUZKOA,981215,PALMER BASKET MALLORCA PALMA,VIERNES17/04/202620:00,PENDING
2486523,30,981431,MOVISTAR ESTUDIANTES,981124,ALIMERKA OVIEDO BALONCESTO,DOMINGO19/04/202612:30,PENDING
